Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (win64) Build 3064766 Wed Nov 18 09:12:45 MST 2020
| Date         : Wed Sep  8 11:46:05 2021
| Host         : DESKTOP-CQEKB9O running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -file {F:/MRSA/Hardware/MRSA 16 PEs/ALVEO U280/utilization_report.txt}
| Design       : scrypt_16_romix_ip_v1_0
| Device       : xcu280fsvh2892-2L
| Design State : Synthesized
-------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------+-----------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                  Instance                  |               Module              | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|             (datapath)                     |                  romix_new_dp_212 |          0 |          0 |       0 |    0 |   522 |      0 |      0 |    0 |          0 |
|             blockmix                       |                 blockmix_dpct_213 |       2781 |       2781 |       0 |    0 |  4115 |      0 |      0 |    0 |          0 |
|               controller                   |                   blockmix_ct_217 |          2 |          2 |       0 |    0 |    15 |      0 |      0 |    0 |          0 |
|               datapath                     |                   blockmix_dp_218 |       2779 |       2779 |       0 |    0 |  4100 |      0 |      0 |    0 |          0 |
|                 (datapath)                 |                   blockmix_dp_218 |       1536 |       1536 |       0 |    0 |  3584 |      0 |      0 |    0 |          0 |
|                 salsa_20_8                 |                    salsa_20_8_219 |       1243 |       1243 |       0 |    0 |   516 |      0 |      0 |    0 |          0 |
|                   controller               |                 salsa_20_8_ct_220 |         11 |         11 |       0 |    0 |     4 |      0 |      0 |    0 |          0 |
|                   datapath                 |                 salsa_20_8_dp_221 |       1232 |       1232 |       0 |    0 |   512 |      0 |      0 |    0 |          0 |
|                     (datapath)             |                 salsa_20_8_dp_221 |          0 |          0 |       0 |    0 |   512 |      0 |      0 |    0 |          0 |
|                     full_qround_1          |                   full_qround_222 |       1232 |       1232 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                       q_round_1            |        q_round_for_salsa_20_8_223 |        323 |        323 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                       q_round_2            |        q_round_for_salsa_20_8_224 |        303 |        303 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                       q_round_3            |        q_round_for_salsa_20_8_225 |        303 |        303 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                       q_round_4            |        q_round_for_salsa_20_8_226 |        303 |        303 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|             counter                        |                 up_counter_en_214 |         16 |         16 |       0 |    0 |    10 |      0 |      0 |    0 |          0 |
|             memory                         |                 bram1024_core_215 |          0 |          0 |       0 |    0 |     0 |     28 |      1 |    0 |          0 |
|             mux_1                          |         mux21__parameterized0_216 |       1024 |       1024 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|         rm_11                              |                       romix_new_3 |       3866 |       3866 |       0 |    0 |  4657 |     28 |      1 |    0 |          0 |
|           (rm_11)                          |                       romix_new_3 |          4 |          4 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|           controller                       |                  romix_new_ct_195 |         41 |         41 |       0 |    0 |    10 |      0 |      0 |    0 |          0 |
|           datapath                         |                  romix_new_dp_196 |       3821 |       3821 |       0 |    0 |  4647 |     28 |      1 |    0 |          0 |
|             (datapath)                     |                  romix_new_dp_196 |          0 |          0 |       0 |    0 |   522 |      0 |      0 |    0 |          0 |
|             blockmix                       |                 blockmix_dpct_197 |       2781 |       2781 |       0 |    0 |  4115 |      0 |      0 |    0 |          0 |
|               controller                   |                   blockmix_ct_201 |          2 |          2 |       0 |    0 |    15 |      0 |      0 |    0 |          0 |
|               datapath                     |                   blockmix_dp_202 |       2779 |       2779 |       0 |    0 |  4100 |      0 |      0 |    0 |          0 |
|                 (datapath)                 |                   blockmix_dp_202 |       1536 |       1536 |       0 |    0 |  3584 |      0 |      0 |    0 |          0 |
|                 salsa_20_8                 |                    salsa_20_8_203 |       1243 |       1243 |       0 |    0 |   516 |      0 |      0 |    0 |          0 |
|                   controller               |                 salsa_20_8_ct_204 |         11 |         11 |       0 |    0 |     4 |      0 |      0 |    0 |          0 |
